Datum;Vecka;Dag;EC HBG FEU19e;EC HBG WIN19e;EC Malmö Java19e;EC Malmö Java20e;EC Malmö MVT19;EC FEU20e;HAK OPA20;HAK OPA20X;HAK OPA21;HAK PYAI1;HKR DAO;IHM DAS20;IHM GDAS19;DEV21M;FRK20G;FRK20S;FWK20G;FWK20S;TTK20G;TTK21G;MI DAN20;MI DCD20M;MI FED20m;MI FED21m;MI OLM20;MI OLM20D;MI OLM21m;MI WAN20;MI WAN21m;MI WCM20;MI WCM21;Newton .NET19n;Newton .NET20n;Newton .NET21n;Newton Java19n;Newton Java20n;Newton Java21n;Newton Krav21n;PlusHS Java19p;PlusHS Java20gbg;PlusHS Java20p;PlusHS Java21gbg;PlusHS Java21h;PlusHS Java21v;PlusHS Net20gbg;Övrigt Upptagen
2020-08-03;32;mån;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-04;32;tis;;;;;TF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-05;32;ons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-06;32;tor;;;;;TF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-07;32;fre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-08;32;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-09;32;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-10;33;mån;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-11;33;tis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-12;33;ons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-13;33;tor;;;;;BB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-14;33;fre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-15;33;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-16;33;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-17;34;mån;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-18;34;tis;;;;;BB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TF;;;;;
2020-08-19;34;ons;;;;;BB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-20;34;tor;;;;;BB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CM;;;;;
2020-08-21;34;fre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-22;34;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-23;34;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-24;35;mån;BB d;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TF;;;;;;;
2020-08-25;35;tis;;;;;BB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TF;;;;;
2020-08-26;35;ons;BB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TF;;;;;;;
2020-08-27;35;tor;;;;;BB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TF;;;;;
2020-08-28;35;fre;;;;;;;;;;;;;;;;;;;;;;;;;BB d;;;;;;;;;;;;;;;;;;;;;
2020-08-29;35;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-30;35;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-08-31;36;mån;CM;;AB;;;;;;;;;;;;;;;;;;;;;;;;;BB d;;;;;;;;JW;;;TF;;;;;;;
2020-09-01;36;tis;;;;;TF;;;;;;;;;;;;;;;;;;;;BB;;;;;;;;;;;JW d;;;;;CM;;;;;
2020-09-02;36;ons;CM;;AB;;;;;;;;;;;;;;;;;;;;;;BB d;;;;;;;;;;;JW d;;;TF;;;;;;;
2020-09-03;36;tor;;;;;TF;;;;;;;;;;;;;;;;;;;;;;;NH BB d;;;;;;;;;;;;;CM;;;;;
2020-09-04;36;fre;;;;;BB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-09-05;36;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-09-06;36;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-09-07;37;mån;XX;;AB;;;;TF i;;;;;;;;;;;;;;;;;;;;;NH d;;;;;;;JW;BB;;;;;;;;;;
2020-09-08;37;tis;;;;;BB;;BB JW;;;;;;;;;;;;;;;;;;;;;;;;;JW ML;;;;;;;;;TF;;;;;
2020-09-09;37;ons;BB;;AB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ML d;JW d;;;TF;;;;;;;
2020-09-10;37;tor;;;;;BB;;JW d;;;;;;;;;;;;;;;;;;;;;;;;;ML d;;;;;;;;;TF;;;;;
2020-09-11;37;fre;;;AB (9-12);;BB;;JW d;;;;;;;;;;;;;;;;;;NH d;;;;;;;ML d;;;ML d;;;;TF;;;;;;;
2020-09-12;37;lör;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-09-13;37;sön;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2020-09-14;38;mån;JW;;AB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ML d;BB d;;;TF;;;;;;;
